id,prec_id,enr_desc,county_nam,of_prec_id,county_id,blockid
"1988","01",PATTERSON,ALAMANCE,,"1",
"1989","02",COBLE,ALAMANCE,,"1",
"1992","07",ALBRIGHT,ALAMANCE,,"1",
"1996",03S,SOUTH BOONE,ALAMANCE,,"1",
"1997",03W,WEST BOONE,ALAMANCE,,"1",
"1998","063",GRAHAM 3,ALAMANCE,,"1",
"2000",06W,WEST GRAHAM,ALAMANCE,,"1",
"2009",03N2,NORTH BOONE 2,ALAMANCE,,"1",
"2010",03C,CENTRAL BOONE,ALAMANCE,,"1",
"2015",06N,NORTH GRAHAM,ALAMANCE,,"1",
"2016",09S,SOUTH THOMPSON,ALAMANCE,,"1",
"2011",03N,NORTH BOONE,ALAMANCE,,"1",
"2012","064",GRAHAM 4,ALAMANCE,,"1",
"1990","04",MORTON,ALAMANCE,,"1",
"1991","05",FAUCETTE,ALAMANCE,,"1",
"2018",09N,NORTH THOMPSON,ALAMANCE,,"1",
"1995","035",BOONE 5,ALAMANCE,,"1",
"2001",08N,NORTH NEWLIN,ALAMANCE,,"1",
"2002",08S,SOUTH NEWLIN,ALAMANCE,,"1",
"2019","103",MELVILLE 3,ALAMANCE,,"1",
"2003",10N,NORTH MELVILLE,ALAMANCE,,"1",
"1999",06S,SOUTH GRAHAM,ALAMANCE,,"1",
"2013",06E,EAST GRAHAM,ALAMANCE,,"1",
"2005","124",BURLINGTON 4,ALAMANCE,,"1",
"2020","125",BURLINGTON 5,ALAMANCE,,"1",
"2021",12S,SOUTH BURLINGTON,ALAMANCE,,"1",
"2017","128",BURLINGTON 8,ALAMANCE,,"1",
"2022","126",BURLINGTON 6,ALAMANCE,,"1",
"2023",12E,EAST BURLINGTON,ALAMANCE,,"1",
"2024","1210",BURLINGTON 10,ALAMANCE,,"1",
"1993","11",PLEASANT GROVE,ALAMANCE,,"1",
"1994","13",HAW RIVER,ALAMANCE,,"1",
"2006","127",BURLINGTON 7,ALAMANCE,,"1",
"2007",12N,NORTH BURLINGTON,ALAMANCE,,"1",
"2008",12W,WEST BURLINGTON,ALAMANCE,,"1",
"2014","129",BURLINGTON 9,ALAMANCE,,"1",
"2674","104",Melville 4,ALAMANCE,,"1",
"2675",10S1,SOUTH MELVILLE,ALAMANCE,,"1",
